날짜,제목,링크,분류,첨부파일
2024年6月11日,「冷凍のくろまぐろ、みなみまぐろ、めばちまぐろ又はめかじきを輸入する場合の確認について」等の一部改正について（PDF形式：271KB）,/policy/external_economy/trade_control/boekikanri/download/import/2024/20240611_009_im.pdf,輸出入,
2024年5月24日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式：201KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20240524press_russia.pdf,経済制裁,
2024年5月10日,テロリスト等に対する資産凍結等の措置の対象者の削除について（PDF形式：111KB）,boekikanri/download/seisai/other/240510_terotsuika.pdf,経済制裁,
2024年4月15日,コンゴ民主共和国に対する武器禁輸措置等に違反したもの等に対する資産凍結等の措置の対象者の追加について（PDF形式：227KB）,boekikanri/download/seisai/other/20240415_congohoudou.pdf ,経済制裁,
2024年4月10日,輸出貿易管理令の一部を改正する政令（PDF形式：95KB）,/policy/external_economy/trade_control//boekikanri/download/export/2024/20240410_yushutsureitou.pdf,経済制裁,
2024年4月5日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（輸出貿易管理令等の一部を改正）（PDF形式：177KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20240405press_russia.pdf,経済制裁,
2024年3月29日,「包括輸出承認取扱要領」の一部改正について（PDF形式：150KB）,/policy/external_economy/trade_control/boekikanri/download/export/2024/20240329_001_houkatsu-shounin.pdf,輸出入,
2024年3月5日,テロリスト等に対する資産凍結等の措置の対象者の追加について（PDF形式：142KB）,boekikanri/download/seisai/other/240305_terotsuika.pdf,経済制裁,
2024年3月1日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式：345KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20240301press_russia.pdf,経済制裁,
2024年2月22日,（お知らせ）ロシア向け輸出禁止措置と「Common High Priority Items」等の輸出における注意について（令和6年2月22日更新）（PDF形式：331KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20240222oshirase_russia.pdf,経済制裁,
2024年2月21日,イエメン共和国における平和等を脅かす活動に関与した者等に対する資産凍結等の措置の対象者の追加について（PDF形式：209KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadYemen/20240221press_yemen.pdf,経済制裁,
2024年2月7日,「特定の水銀、水銀化合物及び水銀使用製品等の輸出承認について」等の一部改正について（PDF形式：108KB）,/policy/external_economy/trade_control/boekikanri/download/export/2024/20240207_001_suigin-yushutsu.pdf,輸出入,
2024年2月2日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式：145KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20240202press_russia.pdf,経済制裁,
2024年1月30日,「「化学物質の輸出承認について」等の一部改正について」の一部改正について（PDF形式：72KB）,/policy/external_economy/trade_control/boekikanri/download/export/2024/20240130_pops_tsuutatsu.pdf,輸出入,
2024年1月30日,テロリスト等に対する資産凍結等の措置の対象者の追加について（PDF形式：135KB）,boekikanri/download/seisai/other/240130_terotsuika.pdf,経済制裁,
2024年1月26日,ハイチにおける平和等を脅かす行為等に関与した者等に対する資産凍結等の措置について（PDF形式：136KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadhaiti/20240126_haiti_houdou.pdf,経済制裁,
2024年1月25日,「輸出貿易管理令第四条第二項の規定に基づく経済産業大臣が告示で定める貨物」の一部改正について（PDF形式：50KB）,/policy/external_economy/trade_control/boekikanri/download/export/2024/20240125_pops_kokuji.pdf,輸出入,
2024年1月22日,記録媒体として、FD（フロッピーディスク）等を指定する規制等の見直しのため、経済産業省所管の省令の改正を行いました（デジタル原則）,https://www.meti.go.jp/press/2023/01/20240122004/20240122004.html,その他,
2024年1月5日,令和６年能登半島地震の被災に伴う輸出入許可証等の取扱いの特例措置について（PDF形式：98KB）,boekikanri/download/misc/20240105_saigaitokurei.pdf,輸出入,
2023年12月26日,テロリスト等に対する資産凍結等の措置の対象者の追加について（PDF形式：129KB）,boekikanri/download/seisai/other/231226_terotsuika.pdf,経済制裁,
2023年12月20日,輸出貿易管理令の一部を改正する政令（PDF形式：48KB）,/policy/external_economy/trade_control//boekikanri/download/export/2023/20231220_yushutsureitou.pdf,経済制裁,
2023年12月15日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（輸出貿易管理令等の一部を改正）（PDF形式：165KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20231215press_russia.pdf,経済制裁,
2023年12月1日,コンゴ民主共和国に対する武器禁輸措置等に違反したもの等に対する資産凍結等の措置の対象者の追加について（PDF形式：234KB）,boekikanri/download/seisai/other/20231201_congohoudou.pdf ,経済制裁,
2023年12月1日,北朝鮮の核その他の大量破壊兵器及び弾道ミサイル関連計画その他の北朝鮮に関連する国際連合安全保障理事会決議により禁止された活動等に関与する者に対する資産凍結等の措置の対象者の追加について（PDF形式：203KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/kitachosen/20231201_sn.pdf,経済制裁,
2023年11月24日,「絶滅のおそれのある野生動植物等の輸出承認について」等の一部改正について（PDF形式：214KB）,/policy/external_economy/trade_control/boekikanri/download/export/2023/20231124_001.pdf,輸出入,
2023年11月15日,マリ共和国における平和等を脅かす行為等に関与した者等に対する資産凍結等の措置対象者の削除について（PDF形式：272KB）,boekikanri/download/seisai/mali/20231115_mali_houdou.pdf ,経済制裁,
2023年11月10日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：103KB）,boekikanri/download/import/2023/20231110_137_im.pdf,輸入,
2023年10月31日,テロリスト等に対する資産凍結等の措置の対象者の追加について（PDF形式：182KB）,boekikanri/download/seisai/other/231031_terotsuika.pdf,経済制裁,
2023年10月27日,イランの核問題に関する国際連合安全保障理事会決議第２２３１号に基づく措置の一部解除について（PDF形式：386KB）,01_seido/04_seisai/downloadIran/20231027_iran_houdou.pdf,経済制裁,
2023年10月25日,イラク前政権の高官又はその関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：153KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadiraq/20231025_iraqhoudou.pdf,経済制裁,
2023年10月20日,（お知らせ）ロシア向け輸出禁止措置と「Common High Priority Items」等の輸出における注意について（PDF形式：315KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20231020oshirase_russia.pdf,経済制裁,
2023年10月18日,「化学物質の輸出承認について」等の一部改正について（PDF形式：121KB）,/policy/external_economy/trade_control/boekikanri/download/export/2023/20231018_016_ex.pdf,輸出入,
2023年9月8日,「血液製剤の輸出承認について 」等の一部改正について（PDF形式：121KB）,/policy/external_economy/trade_control/boekikanri/download/export/2023/20230908_15_ex.pdf,輸出,
2023年9月1日,「輸入公表三の８に基づく鯨及びその調製品の輸入に関する水産庁長官の確認について」等の一部改正について（PDF形式：95KB）,/policy/external_economy/trade_control/boekikanri/download/import/2023/20230901_14_im.pdf,輸出入,
2023年9月1日,北朝鮮の核その他の大量破壊兵器及び弾道ミサイル関連計画その他の北朝鮮に関連する国際連合安全保障理事会決議により禁止された活動等に関与する者に対する資産凍結等の措置の対象者の追加について（PDF形式：206KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/kitachosen/20230901_sn.pdf,経済制裁,
2023年8月3日,ソマリアに対する武器禁輸措置等に違反した者等に対する資産凍結等の措置の対象者の追加について（PDF形式：181KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadSomalia/20230803_somaliahoudou.pdf,経済制裁,
2023年8月2日,輸出貿易管理令の一部を改正する政令,/policy/external_economy/trade_control/01_seido/04_seisai/crimea.html#sotitop,経済制裁,
2023年7月28日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（輸出貿易管理令の一部を改正する政令についての閣議決定）,/policy/external_economy/trade_control/01_seido/04_seisai/crimea.html#sotitop,経済制裁,
2023年7月3日,「新型コロナウイルス感染症の影響に伴う申請手続等に係る特例措置について」の廃止について（PDF形式：55KB）,/policy/external_economy/trade_control/boekikanri/download/import/2023/20230703_013_im.pdf,輸出入,
2023年7月3日,「ロシアを原産地とする原油及び石油製品（輸入公表三の７の(9)に掲げるものに限る。）の輸入に関する確認について」の一部改正について（PDF形式：67KB）,/policy/external_economy/trade_control/boekikanri/download/import/2023/20230703_012_im.pdf,輸出入,
2023年7月3日,「特定手続等に係る申請者の届出について」等の一部改正について（PDF形式：96KB）,/policy/external_economy/trade_control/boekikanri/download/export/2023/20230703_001.pdf,輸出入,
2023年6月8日,タリバーン関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：150KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/talibaan/20230608_talibanhoudou.pdf,経済制裁,
2023年5月26日,外国為替取引等取扱業者遵守基準を定める省令（PDF形式：100KB）,/policy/external_economy/trade_control/boekikanri/download/shihontorihiki/2023/20230526_junshu_re.pdf,その他,
2023年5月26日,「輸出貿易管理令又は輸入貿易管理令に係る条約等の締約国等について」の一部改正について（PDF形式：77KB）,/policy/external_economy/trade_control/boekikanri/download/export/2023/20230526_009_ex.pdf,輸出入,
2023年5月26日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式：340KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20230526press_russia.pdf,経済制裁,
2023年5月23日,イラク前政権の高官又はその関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：122KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadiraq/20230523_iraqhoudou.pdf,経済制裁,
2023年4月27日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：103KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/talibaan/20230427_talibanhoudou.pdf,経済制裁,
2023年4月20日,「放射性同位元素の輸入に係る使用許可証、使用の届出又は販売若しくは賃貸の業を証明する書類の取扱いについて」の一部改正について（PDF形式：108KB）,/policy/external_economy/trade_control/boekikanri/download/import/2023/20230420_007_im.pdf,輸出入,
2023年4月19日,イラク前政権の高官又はその関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：79KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadiraq/20230419_iraqhoudou.pdf,経済制裁,
2023年4月10日,「輸出貿易管理令の一部を改正する政令」等について（PDF形式：91KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadNK/230410_yushutureitou.pdf ,経済制裁,
2023年4月7日,外国為替及び外国貿易法に基づく北朝鮮輸出入禁止措置を延長しました（PDF形式：148KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadNK/20230407_press_nk.pdf ,経済制裁,
2023年3月31日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（輸出貿易管理令の一部を改正）（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20230331press2_russia.pdf,経済制裁,
2023年3月20日,「生鮮又は冷蔵のくろまぐろを輸入する場合の取扱いについて」等の一部改正について（PDF形式：83KB）,/policy/external_economy/trade_control/boekikanri/download/import/2023/20230320_005_im.pdf,輸出入,
2023年3月17日,北朝鮮の核その他の大量破壊兵器及び弾道ミサイル関連計画その他の北朝鮮に関連する国際連合安全保障理事会決議により禁止された活動等に関与する者に対する資産凍結等の措置の対象者の追加について（PDF形式：141KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/kitachosen/20230317_sn.pdf,経済制裁,
2023年2月28日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20230228press_russia.pdf,経済制裁,
2023年2月6日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20230206press_russia.pdf,輸出入,
2023年1月30日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：96KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/talibaan/20230130_talibanhoudou.pdf,経済制裁,
2023年1月27日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（輸出貿易管理令の一部を改正）（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20230127press2_russia.pdf,経済制裁,
2023年1月17日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：97KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/talibaan/20230117_talibanhoudou.pdf,経済制裁,
2022年12月26日,「放射性廃棄物の輸出承認について」の制定について（PDF形式：137KB）,/policy/external_economy/trade_control/boekikanri/download/export/2022/20221226_031_ex.pdf,輸出入,
2022年12月13日,（お知らせ）年末年始の閉庁に伴う申請受付について（PDF形式）,boekikanri/download/misc/2021/20221213_zz.pdf,その他,
2022年12月5日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20221205press_russia.pdf,輸出入,
2022年12月2日,北朝鮮の核その他の大量破壊兵器及び弾道ミサイル関連計画その他の北朝鮮に関連する国際連合安全保障理事会決議により禁止された活動等に関与する者に対する資産凍結等の措置の対象者の追加について（PDF形式：154KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/kitachosen/20221202_sn.pdf,経済制裁,
2022年11月21日,「当該物質以外の物質の製造工程において原料として使用されるモントリオール議定書附属書に掲げる物質（経済産業大臣の二号承認を受けなければならない者が輸入するものを除く。）の輸入の確認について」等の一部改正について（PDF形式：97KB）,/policy/external_economy/trade_control/boekikanri/download/import/2022/20221121_12_im.pdf,輸出入,
2022年11月10日,ハイチにおける平和等を脅かす行為等に関与した者等に対する資産凍結等の措置について（PDF形式：136KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadhaiti/20221110_haiti_houdou.pdf,経済制裁,
2022年11月1日,輸出貿易管理令別表第二及び別表第七の規定に基づき貨物を定める省令の一部を改正する省令（PDF形式：77KB）,/policy/external_economy/trade_control/boekikanri/download/export/2022/20221101_081_ex.pdf,輸出入,
2022年10月18日,北朝鮮の核その他の大量破壊兵器及び弾道ミサイル関連計画その他の北朝鮮に関連する国際連合安全保障理事会決議により禁止された活動等に関与する者に対する資産凍結等の措置の対象者の追加について（PDF形式：137KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/kitachosen/20221018_sn.pdf,経済制裁,
2022年10月14日,「化学物質の輸出承認について」等の一部改正について（PDF形式：120KB）,/policy/external_economy/trade_control/boekikanri/download/export/2022/20221013_025_ex.pdf,輸出入,
2022年10月7日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20221007press_russia.pdf,経済制裁,
2022年9月30日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（輸出貿易管理令の一部を改正）（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20220930press_russia.pdf,経済制裁,
2022年9月26日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20220926press_russia.pdf,経済制裁,
2022年9月1日,「新型コロナウィルス感染症の影響に伴う申請手続等に係る特例措置について」の一部改正について（PDF形式：82KB）,/policy/external_economy/trade_control/boekikanri/download/import/2022/20220901_09_im.pdf,輸出入,
2022年7月5日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20220705press_russia.pdf,経済制裁,
2022年6月16日,イラク前政権の機関、高官又はその関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：155KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadiraq/20220616_iraqhoudou.pdf,経済制裁,
2022年6月10日,（ニュースリリース）ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（輸出貿易管理令の一部を改正）,https://www.meti.go.jp/press/2022/06/20220610004/20220610004.html,経済制裁,
2022年6月7日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20220607press_russia.pdf,経済制裁,
2022年5月13日,（ニュースリリース）ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（輸出貿易管理令の一部を改正）,https://www.meti.go.jp/press/2022/05/20220513002/20220513002.html,経済制裁,
2022年5月10日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20220510press_russia.pdf,経済制裁,
2022年5月9日,貿易関係貿易外取引等に関する省令及び輸入貿易管理規則の一部を改正する省令について（PDF形式：85KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/other/20220509_boekigaishourei.pdf,その他,
2022年5月2日,外国為替令の一部改正について（PDF形式：118KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/other/20220502_189_so.pdf,経済制裁,
2022年4月28日,「電子情報処理組織を使用して行う特定手続等の運用について」等の一部改正について（PDF形式：241KB）,/policy/external_economy/trade_control/boekikanri/download/export/2022/20220428_tsutatsu_naccs_unyo_shinseikoumoku.pdf,輸出入,
2022年4月19日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式）,/policy/external_economy/trade_control/boekikanri/download/import/2022/20220419_101_im.pdf,輸出入,
2022年4月12日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20220412press_russia.pdf,経済制裁,
2022年4月12日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式）,/policy/external_economy/trade_control/boekikanri/download/import/2022/20220412_97_im.pdf,輸出入,
2022年4月5日,イラク前政権の高官又はその関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：139KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadiraq/20220405_iraqhoudou.pdf,経済制裁,
2022年4月1日,北朝鮮の核その他の大量破壊兵器及び弾道ミサイル関連計画等に関与する者に対する資産凍結等の措置の対象者の追加について（PDF形式：269KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/kitachosen/20220401_140_sn.pdf,経済制裁,
2022年3月31日,「関税法第69条の12第1項の認定手続が執られた貨物の輸出承認について」の一部改正について（PDF形式：228KB）,/policy/external_economy/trade_control/boekikanri/download/export/2022/20220331_013_ex.pdf,輸出入,
2022年3月29日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20220329press_russia.pdf,経済制裁,
2022年3月25日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20220325press_russia.pdf,経済制裁,
2022年3月18日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20220318press_russia.pdf,経済制裁,
2022年3月15日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置を実施します（措置の対象となる貨物及び役務取引等について）（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20220315press_russia_2.pdf ,経済制裁,
2022年3月15日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置を実施します（資産凍結等）（PDF形式：278KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20220315press_russia.pdf ,経済制裁,
2022年3月11日,「輸出貿易管理令」等の一部改正について（PDF形式：83KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/other/20220311_yushutsureitou.pdf ,経済制裁,
2022年3月11日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20220311press_russia.pdf,経済制裁,
2022年3月8日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加及び削除について（PDF形式：211KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/talibaan/20220308_talibanhoudou.pdf,経済制裁,
2022年3月8日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20220308press_russia.pdf,経済制裁,
2022年3月3日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20220303press_russia.pdf,経済制裁,
2022年3月1日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20220301press_russia.pdf,経済制裁,
2022年2月28日,「輸出貿易管理令又は輸入貿易管理令に係る条約等の締約国等について」の一部改正について（PDF形式：67KB）,/policy/external_economy/trade_control/boekikanri/download/export/2022/20220228_oshirase_teiyakukoku.pdf,輸出入,
2022年2月26日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（PDF形式）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20220226press_russia.pdf,経済制裁,
2022年2月26日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式）,/policy/external_economy/trade_control/boekikanri/download/import/2022/20220226_24_im.pdf,輸出入,
2022年2月24日,イエメン共和国における平和等を脅かす活動に関与した者等に対する資産凍結等の措置の対象者の追加について（PDF形式：503KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadYemen/20220224press_yemen.pdf,経済制裁,
2022年1月27日,タリバーン関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：336KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/talibaan/20220127_talibanhoudou.pdf,経済制裁,
2022年1月20日,タリバーン関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：395KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/talibaan/20220120_talibanhoudou.pdf,経済制裁,
2022年1月6日,イラク前政権の機関等に対する資産凍結等の措置の対象者の削除について（PDF形式：128KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadiraq/20220106_iraqhoudou.pdf,経済制裁,
2022年1月4日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：264KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/talibaan/20211231_talibanhoudou.pdf,経済制裁,
2021年12月28日,「漁船の輸出承認について」等の一部改正について（PDF形式：228KB）,/policy/external_economy/trade_control/boekikanri/download/export/2021/20211228_036_ex.pdf,輸出入,
2021年12月22日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：228KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/talibaan/20211222_talibanhoudou.pdf,経済制裁,
2021年12月22日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：103KB）,/policy/external_economy/trade_control/boekikanri/download/import/2021/20211222_037_im.pdf,輸出入,
2021年12月10日,「輸出貿易管理令又は輸入貿易管理令に係る条約等の締約国等について」等の一部改正について（PDF形式：135KB）,/policy/external_economy/trade_control/boekikanri/download/export/2021/20211210_oshirase_teiyakukoku.pdf,輸出入,
2021年12月7日,（お知らせ）年末年始の閉庁に伴う申請受付について（PDF形式：150KB）,boekikanri/download/misc/2021/20211207_zz.pdf,その他,
2021年11月25日,リビアのカダフィ革命指導者及びその関係者に対する資産凍結等の措置の対象者の追加について（PDF形式：180KB）,boekikanri/download/seisai/libya/20211125_libyatouhoudou.pdf,経済制裁,
2021年10月15日,輸入貿易管理規則等の一部を改正する省令の制定について（PDF形式：49KB）,/policy/external_economy/trade_control/boekikanri/download/import/2021/20211015_yunyukisoku.pdf,輸出入,
2021年10月13日,イラク前政権の機関等に対する資産凍結等の措置の対象者の削除について（PDF形式：148KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadiraq/20211013_iraqhoudou.pdf,経済制裁,
2021年9月24日,「輸出貿易管理令又は輸入貿易管理令に係る条約等の締約国等について」等の一部改正について（PDF形式：153KB）,/policy/external_economy/trade_control/boekikanri/download/export/2021/20210924_oshirase_teiyakukoku.pdf,輸出入,
2021年9月8日,タリバーン関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：174KB）,/policy/external_economy/trade_control/boekikanri/download/export/2021/20210908_talibanhoudou.pdf ,経済制裁,
